Nutzungseinheit,Beschreibung,Fläche (qm)
1,Erdgeschoss links + Galerie links + Gemeinschaftsflächen,369.65
2,Erdgeschoss rechts + Galerie rechts + Gemeinschaftsflächen,446.86
3,1. Obergeschoss links + Gemeinschaftsflächen,331.62
4,1. Obergeschoss rechts + Gemeinschaftsflächen + Terrasse,379.18
5,2. Obergeschoss links + Gemeinschaftsflächen,331.62
6,2. Obergeschoss rechts + Gemeinschaftsflächen,379.18
7,Staffelgeschoss + Gemeinschaftsflächen + Terrasse,270.66
